period ,district ,flood incidence
20160811,510 Dang,1
20210626,510 Dang,1
20210809,510 Dang,1
20190624,511 Banke,1
20160721,511 Banke,1
20160726,511 Banke,1
20190708,511 Banke,1
20170814,511 Banke,1
20170816,511 Banke,1
20230701,511 Banke,1
20160702,511 Banke,1
20170815,511 Banke,1
20210908,511 Banke,1
20180702,512 Bardiya,1
20230808,512 Bardiya,1
20160726,512 Bardiya,1
20170812,512 Bardiya,1
20170813,512 Bardiya,1
20170814,512 Bardiya,1
20190709,512 Bardiya,1
20200729,512 Bardiya,1
20150708,512 Bardiya,1
20150716,512 Bardiya,1
20170804,512 Bardiya,1
20230814,512 Bardiya,1
20210626,512 Bardiya,1
20170805,512 Bardiya,1
20160710,601 Dolpa,1
20190601,601 Dolpa,1
20160809,601 Dolpa,1
20190606,601 Dolpa,1
20220709,601 Dolpa,1
20180901,601 Dolpa,1
20170701,602 Mugu,1
20160715,602 Mugu,1
20190817,602 Mugu,1
20200827,602 Mugu,1
20160621,603 Humla,1
20230625,604 Jumla,1
20211020,604 Jumla,1
20160725,604 Jumla,1
20210726,604 Jumla,1
20221008,604 Jumla,1
20230821,604 Jumla,1
20211018,604 Jumla,1
20200728,605 Kalikot,1
20170813,605 Kalikot,1
20220615,605 Kalikot,1
20160729,605 Kalikot,1
20221009,605 Kalikot,1
20160806,605 Kalikot,1
20160714,605 Kalikot,1
20160723,606 Dailekh,1
20220726,606 Dailekh,1
20210610,606 Dailekh,1
20160513,606 Dailekh,1
20160619,606 Dailekh,1
20180815,607 Jajarkot,1
20200710,607 Jajarkot,1
20180814,607 Jajarkot,1
20230914,607 Jajarkot,1
20190719,608 Rukum West,1
20190707,608 Rukum West,1
20190709,608 Rukum West,1
20200706,608 Rukum West,1
20190820,608 Rukum West,1
20190814,608 Rukum West,1
20180607,608 Rukum West,1
20220728,608 Rukum West,1
20180814,608 Rukum West,1
20190816,608 Rukum West,1
20190802,608 Rukum West,1
20230903,608 Rukum West,1
20160809,609 Salyan,1
20160701,609 Salyan,1
20160512,609 Salyan,1
20200819,609 Salyan,1
20211022,609 Salyan,1
20160815,609 Salyan,1
20210807,609 Salyan,1
20210824,609 Salyan,1
20190724,610 Surkhet,1
20211019,610 Surkhet,1
20230720,610 Surkhet,1
20170814,610 Surkhet,1
20200807,610 Surkhet,1
20200720,701 Bajura,1
20200719,701 Bajura,1
20210615,701 Bajura,1
20200810,701 Bajura,1
20230724,701 Bajura,1
20160525,701 Bajura,1
20170819,701 Bajura,1
20210614,701 Bajura,1
20160528,701 Bajura,1
20210921,701 Bajura,1
20210506,701 Bajura,1
20160621,701 Bajura,1
20200818,701 Bajura,1
20190808,701 Bajura,1
20190815,701 Bajura,1
20200414,701 Bajura,1
20190723,702 Bajhang,1
20211019,702 Bajhang,1
20200704,702 Bajhang,1
20211020,702 Bajhang,1
20220803,702 Bajhang,1
20160514,702 Bajhang,1
20180502,702 Bajhang,1
20180505,702 Bajhang,1
20230729,703 Darchula,1
20210722,703 Darchula,1
20200720,703 Darchula,1
20210830,703 Darchula,1
20220720,703 Darchula,1
20210829,703 Darchula,1
20190818,703 Darchula,1
20190819,703 Darchula,1
20220909,703 Darchula,1
20160525,704 Baitadi,1
20160807,704 Baitadi,1
20160722,704 Baitadi,1
20160806,704 Baitadi,1
20160510,704 Baitadi,1
20170820,705 Dadeldhura,1
20230808,705 Dadeldhura,1
20170808,705 Dadeldhura,1
20160808,705 Dadeldhura,1
20180912,705 Dadeldhura,1
20160525,705 Dadeldhura,1
20160728,705 Dadeldhura,1
20220917,705 Dadeldhura,1
20220621,705 Dadeldhura,1
20211019,706 Doti,1
20200704,706 Doti,1
20210626,706 Doti,1
20160608,706 Doti,1
20160620,706 Doti,1
20180801,707 Achham,1
20211019,707 Achham,1
20230629,707 Achham,1
20210714,707 Achham,1
20200819,707 Achham,1
20170827,707 Achham,1
20180427,707 Achham,1
20180702,708 Kailali,1
20190917,708 Kailali,1
20200704,708 Kailali,1
20211020,708 Kailali,1
20230808,708 Kailali,1
20170812,708 Kailali,1
20170813,708 Kailali,1
20210827,708 Kailali,1
20200703,708 Kailali,1
20230807,708 Kailali,1
20170804,708 Kailali,1
