,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Mangsir 2076,409 SYANGJA,208
Mangsir 2076,104 OKHALDHUNGA,107
Mangsir 2076,708 KAILALI,716
Mangsir 2076,109 PANCHTHAR,45
Mangsir 2076,505 ARGHAKHANCHI,204
Mangsir 2076,Nepal,"31,408"
Mangsir 2076,105 KHOTANG,191
Mangsir 2076,408 NAWALPARASI EAST,195
Mangsir 2076,701 BAJURA,126
Mangsir 2076,511 BANKE,693
Mangsir 2076,103 SOLUKHUMBU,78
Mangsir 2076,502 ROLPA,350
Mangsir 2076,606 DAILEKH,336
Mangsir 2076,501 RUKUM EAST,127
Mangsir 2076,302 SINDHUPALCHOK,215
Mangsir 2076,403 MUSTANG,1
Mangsir 2076,405 KASKI,"1,730"
Mangsir 2076,509 KAPILBASTU,576
Mangsir 2076,113 SUNSARI,333
Mangsir 2076,201 SAPTARI,389
Mangsir 2076,601 DOLPA,59
Mangsir 2076,404 MYAGDI,38
Mangsir 2076,106 BHOJPUR,144
Mangsir 2076,605 KALIKOT,109
Mangsir 2076,702 BAJHANG,266
Mangsir 2076,4 Gandaki Province,"3,436"
Mangsir 2076,604 JUMLA,124
Mangsir 2076,706 DOTI,260
Mangsir 2076,407 TANAHU,272
Mangsir 2076,411 BAGLUNG,449
Mangsir 2076,112 MORANG,"1,285"
Mangsir 2076,602 MUGU,48
Mangsir 2076,406 LAMJUNG,181
Mangsir 2076,312 MAKWANPUR,119
Mangsir 2076,2 Madhesh Province,"7,024"
Mangsir 2076,203 DHANUSA,935
Mangsir 2076,308 LALITPUR,483
Mangsir 2076,111 JHAPA,"1,560"
Mangsir 2076,311 SINDHULI,436
Mangsir 2076,709 KANCHANPUR,430
Mangsir 2076,114 UDAYAPUR,652
Mangsir 2076,707 ACHHAM,118
Mangsir 2076,3 Bagmati Province,"4,799"
Mangsir 2076,705 DADELDHURA,76
Mangsir 2076,301 DOLAKHA,184
Mangsir 2076,107 DHANKUTA,54
Mangsir 2076,603 HUMLA,109
Mangsir 2076,110 ILAM,385
Mangsir 2076,306 KATHMANDU,"1,539"
Mangsir 2076,410 PARBAT,155
Mangsir 2076,506 PALPA,328
Mangsir 2076,208 PARSA,365
Mangsir 2077,305 NUWAKOT,200
Mangsir 2077,111 JHAPA,637
Mangsir 2077,304 DHADING,354
Mangsir 2077,2 Madhesh Province,"4,478"
Mangsir 2077,7 Sudurpashchim Province,"1,775"
Mangsir 2077,102 SANKHUWASABHA,323
Mangsir 2077,409 SYANGJA,155
Mangsir 2077,607 JAJARKOT,226
Mangsir 2077,608 RUKUM WEST,407
Mangsir 2077,704 BAITADI,146
Mangsir 2077,101 TAPLEJUNG,84
Mangsir 2077,207 BARA,378
Mangsir 2077,6 Karnali Province,"2,130"
Mangsir 2077,204 MAHOTTARI,398
Mangsir 2077,407 TANAHU,176
Mangsir 2077,411 BAGLUNG,328
Mangsir 2077,401 GORKHA,155
Mangsir 2077,202 SIRAHA,817
Mangsir 2077,108 TERHATHUM,40
Mangsir 2077,1 Koshi Province,"2,937"
Mangsir 2077,110 ILAM,41
Mangsir 2077,5 Lumbini Province,"3,770"
Mangsir 2077,301 DOLAKHA,52
Mangsir 2077,114 UDAYAPUR,269
Mangsir 2077,709 KANCHANPUR,297
Mangsir 2077,707 ACHHAM,74
Mangsir 2077,404 MYAGDI,8
Mangsir 2077,708 KAILALI,457
Mangsir 2077,605 KALIKOT,50
Mangsir 2077,203 DHANUSA,533
Mangsir 2077,604 JUMLA,55
Mangsir 2077,310 RAMECHHAP,88
Mangsir 2077,609 SALYAN,311
Mangsir 2077,610 SURKHET,665
Mangsir 2077,703 DARCHULA,97
Mangsir 2077,706 DOTI,225
Mangsir 2077,4 Gandaki Province,"1,915"
Mangsir 2077,508 RUPANDEHI,703
Mangsir 2077,503 PYUTHAN,214
Mangsir 2077,512 BARDIYA,298
Mangsir 2077,701 BAJURA,180
Mangsir 2077,309 KAVREPALANCHOK,169
Mangsir 2077,113 SUNSARI,186
Mangsir 2077,601 DOLPA,48
Mangsir 2077,702 BAJHANG,243
Mangsir 2077,103 SOLUKHUMBU,25
Mangsir 2077,308 LALITPUR,426
Mangsir 2077,311 SINDHULI,368
Mangsir 2077,201 SAPTARI,254
Mangsir 2077,104 OKHALDHUNGA,297
Mangsir 2077,408 NAWALPARASI EAST,129
Mangsir 2077,107 DHANKUTA,42
Mangsir 2077,206 RAUTAHAT ,788
Mangsir 2077,509 KAPILBASTU,432
Mangsir 2077,313 CHITWAN,295
Mangsir 2077,112 MORANG,839
Mangsir 2077,Nepal,"20,201"
Mangsir 2077,109 PANCHTHAR,33
Mangsir 2077,505 ARGHAKHANCHI,280
Mangsir 2077,405 KASKI,654
Mangsir 2077,506 PALPA,152
Mangsir 2077,502 ROLPA,350
Mangsir 2077,501 RUKUM EAST,73
Mangsir 2077,606 DAILEKH,294
Mangsir 2077,511 BANKE,329
Mangsir 2077,306 KATHMANDU,931
Mangsir 2077,705 DADELDHURA,56
Mangsir 2077,303 RASUWA,22
Mangsir 2077,312 MAKWANPUR,70
Mangsir 2077,3 Bagmati Province,"3,196"
Mangsir 2077,507 NAWALPARASI WEST,164
Mangsir 2077,406 LAMJUNG,222
Mangsir 2077,504 GULMI,410
Mangsir 2077,208 PARSA,318
Mangsir 2077,410 PARBAT,88
Mangsir 2077,603 HUMLA,36
Mangsir 2077,105 KHOTANG,64
Mangsir 2077,106 BHOJPUR,57
Mangsir 2077,302 SINDHUPALCHOK,161
Mangsir 2077,307 BHAKTAPUR,60
Mangsir 2077,510 DANG,365
Mangsir 2077,205 SARLAHI,992
Mangsir 2077,602 MUGU,38
Mangsir 2078,402 MANANG,4
Mangsir 2078,705 DADELDHURA,80
Mangsir 2078,410 PARBAT,103
Mangsir 2078,501 RUKUM EAST,86
Mangsir 2078,604 JUMLA,58
Mangsir 2078,310 RAMECHHAP,87
Mangsir 2078,609 SALYAN,393
Mangsir 2078,208 PARSA,796
Mangsir 2078,506 PALPA,188
Mangsir 2078,703 DARCHULA,81
Mangsir 2078,603 HUMLA,84
Mangsir 2078,408 NAWALPARASI EAST,188
Mangsir 2078,404 MYAGDI,14
Mangsir 2078,403 MUSTANG,1
Mangsir 2078,302 SINDHUPALCHOK,167
Mangsir 2078,512 BARDIYA,353
Mangsir 2078,4 Gandaki Province,"2,765"
Mangsir 2078,701 BAJURA,159
Mangsir 2078,105 KHOTANG,99
Mangsir 2078,601 DOLPA,57
Mangsir 2078,312 MAKWANPUR,50
Mangsir 2078,605 KALIKOT,30
Mangsir 2078,602 MUGU,21
Mangsir 2078,113 SUNSARI,197
Mangsir 2078,409 SYANGJA,229
Mangsir 2078,106 BHOJPUR,48
Mangsir 2078,702 BAJHANG,289
Mangsir 2078,304 DHADING,190
Mangsir 2078,313 CHITWAN,314
Mangsir 2078,505 ARGHAKHANCHI,166
Mangsir 2078,610 SURKHET,728
Mangsir 2078,109 PANCHTHAR,150
Mangsir 2078,206 RAUTAHAT ,654
Mangsir 2078,607 JAJARKOT,246
Mangsir 2078,405 KASKI,"1,153"
Mangsir 2078,5 Lumbini Province,"3,851"
Mangsir 2078,108 TERHATHUM,109
Mangsir 2078,104 OKHALDHUNGA,82
Mangsir 2078,401 GORKHA,284
Mangsir 2078,303 RASUWA,16
Mangsir 2078,1 Koshi Province,"3,093"
Mangsir 2078,511 BANKE,446
Mangsir 2078,502 ROLPA,309
Mangsir 2078,203 DHANUSA,698
Mangsir 2078,406 LAMJUNG,207
Mangsir 2078,101 TAPLEJUNG,138
Mangsir 2078,207 BARA,496
Mangsir 2078,708 KAILALI,452
Mangsir 2078,504 GULMI,392
Mangsir 2078,503 PYUTHAN,207
Mangsir 2078,507 NAWALPARASI WEST,215
Mangsir 2078,309 KAVREPALANCHOK,242
Mangsir 2078,305 NUWAKOT,134
Mangsir 2078,510 DANG,459
Mangsir 2078,508 RUPANDEHI,653
Mangsir 2078,205 SARLAHI,962
Mangsir 2078,307 BHAKTAPUR,180
Mangsir 2078,107 DHANKUTA,24
Mangsir 2078,7 Sudurpashchim Province,"2,015"
Mangsir 2078,306 KATHMANDU,"1,185"
Mangsir 2078,308 LALITPUR,897
Mangsir 2078,102 SANKHUWASABHA,185
Mangsir 2078,2 Madhesh Province,"5,409"
Mangsir 2078,201 SAPTARI,193
Mangsir 2078,311 SINDHULI,462
Mangsir 2078,112 MORANG,772
Mangsir 2078,704 BAITADI,115
Mangsir 2078,706 DOTI,344
Mangsir 2078,608 RUKUM WEST,707
Mangsir 2078,202 SIRAHA,827
Mangsir 2078,Nepal,"24,136"
Mangsir 2078,411 BAGLUNG,332
Mangsir 2078,103 SOLUKHUMBU,41
Mangsir 2078,6 Karnali Province,"2,703"
Mangsir 2078,114 UDAYAPUR,364
Mangsir 2078,509 KAPILBASTU,377
Mangsir 2078,301 DOLAKHA,376
Mangsir 2078,110 ILAM,62
Mangsir 2078,3 Bagmati Province,"4,300"
Mangsir 2078,407 TANAHU,250
Mangsir 2078,606 DAILEKH,379
Mangsir 2078,709 KANCHANPUR,419
Mangsir 2078,204 MAHOTTARI,783
Mangsir 2078,707 ACHHAM,76
Mangsir 2078,111 JHAPA,822
Mangsir 2079,602 MUGU,33
Mangsir 2079,409 SYANGJA,165
Mangsir 2079,407 TANAHU,127
Mangsir 2079,5 Lumbini Province,"3,028"
Mangsir 2079,111 JHAPA,672
Mangsir 2079,304 DHADING,81
Mangsir 2079,2 Madhesh Province,"5,231"
Mangsir 2079,411 BAGLUNG,241
Mangsir 2079,512 BARDIYA,243
Mangsir 2079,305 NUWAKOT,93
Mangsir 2079,1 Koshi Province,"2,416"
Mangsir 2079,301 DOLAKHA,39
Mangsir 2079,603 HUMLA,39
Mangsir 2079,312 MAKWANPUR,50
Mangsir 2079,108 TERHATHUM,62
Mangsir 2079,3 Bagmati Province,"2,147"
Mangsir 2079,703 DARCHULA,81
Mangsir 2079,202 SIRAHA,679
Mangsir 2079,101 TAPLEJUNG,38
Mangsir 2079,610 SURKHET,492
Mangsir 2079,6 Karnali Province,"1,567"
Mangsir 2079,208 PARSA,357
Mangsir 2079,607 JAJARKOT,250
Mangsir 2079,410 PARBAT,53
Mangsir 2079,511 BANKE,417
Mangsir 2079,105 KHOTANG,48
Mangsir 2079,205 SARLAHI,"1,085"
Mangsir 2079,401 GORKHA,74
Mangsir 2079,302 SINDHUPALCHOK,73
Mangsir 2079,507 NAWALPARASI WEST,145
Mangsir 2079,502 ROLPA,243
Mangsir 2079,307 BHAKTAPUR,96
Mangsir 2079,510 DANG,262
Mangsir 2079,405 KASKI,598
Mangsir 2079,504 GULMI,201
Mangsir 2079,702 BAJHANG,247
Mangsir 2079,408 NAWALPARASI EAST,137
Mangsir 2079,306 KATHMANDU,531
Mangsir 2079,106 BHOJPUR,46
Mangsir 2079,313 CHITWAN,552
Mangsir 2079,311 SINDHULI,207
Mangsir 2079,113 SUNSARI,166
Mangsir 2079,503 PYUTHAN,170
Mangsir 2079,303 RASUWA,14
Mangsir 2079,104 OKHALDHUNGA,60
Mangsir 2079,403 MUSTANG,2
Mangsir 2079,406 LAMJUNG,62
Mangsir 2079,308 LALITPUR,178
Mangsir 2079,109 PANCHTHAR,56
Mangsir 2079,206 RAUTAHAT ,990
Mangsir 2079,107 DHANKUTA,31
Mangsir 2079,505 ARGHAKHANCHI,97
Mangsir 2079,708 KAILALI,430
Mangsir 2079,112 MORANG,695
Mangsir 2079,606 DAILEKH,84
Mangsir 2079,609 SALYAN,259
Mangsir 2079,310 RAMECHHAP,79
Mangsir 2079,506 PALPA,165
Mangsir 2079,110 ILAM,37
Mangsir 2079,Nepal,"17,701"
Mangsir 2079,509 KAPILBASTU,348
Mangsir 2079,203 DHANUSA,695
Mangsir 2079,707 ACHHAM,25
Mangsir 2079,114 UDAYAPUR,403
Mangsir 2079,705 DADELDHURA,74
Mangsir 2079,508 RUPANDEHI,634
Mangsir 2079,709 KANCHANPUR,346
Mangsir 2079,204 MAHOTTARI,762
Mangsir 2079,501 RUKUM EAST,103
Mangsir 2079,701 BAJURA,187
Mangsir 2079,103 SOLUKHUMBU,25
Mangsir 2079,309 KAVREPALANCHOK,154
Mangsir 2079,601 DOLPA,60
Mangsir 2079,605 KALIKOT,38
Mangsir 2079,706 DOTI,267
Mangsir 2079,704 BAITADI,64
Mangsir 2079,207 BARA,420
Mangsir 2079,201 SAPTARI,243
Mangsir 2079,4 Gandaki Province,"1,591"
Mangsir 2079,7 Sudurpashchim Province,"1,721"
Mangsir 2079,604 JUMLA,45
Mangsir 2079,102 SANKHUWASABHA,77
Mangsir 2079,404 MYAGDI,132
Mangsir 2079,608 RUKUM WEST,267
Mangsir 2080,604 JUMLA,92
Mangsir 2080,705 DADELDHURA,84
Mangsir 2080,402 MANANG,2
Mangsir 2080,310 RAMECHHAP,33
Mangsir 2080,609 SALYAN,146
Mangsir 2080,501 RUKUM EAST,94
Mangsir 2080,703 DARCHULA,44
Mangsir 2080,410 PARBAT,41
Mangsir 2080,114 UDAYAPUR,321
Mangsir 2080,707 ACHHAM,33
Mangsir 2080,606 DAILEKH,78
Mangsir 2080,404 MYAGDI,2
Mangsir 2080,511 BANKE,478
Mangsir 2080,709 KANCHANPUR,234
Mangsir 2080,603 HUMLA,8
Mangsir 2080,509 KAPILBASTU,287
Mangsir 2080,312 MAKWANPUR,175
Mangsir 2080,Nepal,"17,161"
Mangsir 2080,105 KHOTANG,40
Mangsir 2080,1 Koshi Province,"2,552"
Mangsir 2080,411 BAGLUNG,64
Mangsir 2080,5 Lumbini Province,"2,836"
Mangsir 2080,405 KASKI,838
Mangsir 2080,407 TANAHU,205
Mangsir 2080,502 ROLPA,273
Mangsir 2080,303 RASUWA,9
Mangsir 2080,208 PARSA,748
Mangsir 2080,104 OKHALDHUNGA,72
Mangsir 2080,3 Bagmati Province,"2,326"
Mangsir 2080,506 PALPA,133
Mangsir 2080,311 SINDHULI,208
Mangsir 2080,107 DHANKUTA,18
Mangsir 2080,308 LALITPUR,93
Mangsir 2080,602 MUGU,69
Mangsir 2080,305 NUWAKOT,84
Mangsir 2080,313 CHITWAN,460
Mangsir 2080,408 NAWALPARASI EAST,202
Mangsir 2080,302 SINDHUPALCHOK,70
Mangsir 2080,307 BHAKTAPUR,29
Mangsir 2080,510 DANG,227
Mangsir 2080,504 GULMI,106
Mangsir 2080,702 BAJHANG,252
Mangsir 2080,106 BHOJPUR,18
Mangsir 2080,507 NAWALPARASI WEST,190
Mangsir 2080,205 SARLAHI,970
Mangsir 2080,708 KAILALI,440
Mangsir 2080,406 LAMJUNG,117
Mangsir 2080,508 RUPANDEHI,571
Mangsir 2080,203 DHANUSA,921
Mangsir 2080,401 GORKHA,42
Mangsir 2080,108 TERHATHUM,82
Mangsir 2080,109 PANCHTHAR,70
Mangsir 2080,101 TAPLEJUNG,42
Mangsir 2080,112 MORANG,781
Mangsir 2080,607 JAJARKOT,139
Mangsir 2080,204 MAHOTTARI,589
Mangsir 2080,301 DOLAKHA,59
Mangsir 2080,110 ILAM,13
Mangsir 2080,306 KATHMANDU,871
Mangsir 2080,505 ARGHAKHANCHI,60
Mangsir 2080,6 Karnali Province,"1,170"
Mangsir 2080,202 SIRAHA,673
Mangsir 2080,201 SAPTARI,271
Mangsir 2080,2 Madhesh Province,"5,114"
Mangsir 2080,409 SYANGJA,176
Mangsir 2080,7 Sudurpashchim Province,"1,474"
Mangsir 2080,704 BAITADI,41
Mangsir 2080,111 JHAPA,799
Mangsir 2080,206 RAUTAHAT ,680
Mangsir 2080,113 SUNSARI,216
Mangsir 2080,608 RUKUM WEST,204
Mangsir 2080,103 SOLUKHUMBU,21
Mangsir 2080,610 SURKHET,364
Mangsir 2080,304 DHADING,112
Mangsir 2080,503 PYUTHAN,118
Mangsir 2080,207 BARA,262
Mangsir 2080,4 Gandaki Province,"1,689"
Mangsir 2080,701 BAJURA,100
Mangsir 2080,706 DOTI,246
Mangsir 2080,512 BARDIYA,299
Mangsir 2080,605 KALIKOT,35
Mangsir 2080,309 KAVREPALANCHOK,123
Mangsir 2080,601 DOLPA,35
Mangsir 2080,102 SANKHUWASABHA,59
Poush 2071,109 PANCHTHAR,58
Poush 2071,112 MORANG,605
Poush 2071,313 CHITWAN,324
Poush 2071,406 LAMJUNG,125
Poush 2071,311 SINDHULI,305
Poush 2071,503 PYUTHAN,240
Poush 2071,203 DHANUSA,872
Poush 2071,308 LALITPUR,253
Poush 2071,708 KAILALI,384
Poush 2071,206 RAUTAHAT ,401
Poush 2071,107 DHANKUTA,125
Poush 2071,303 RASUWA,38
Poush 2071,306 KATHMANDU,888
Poush 2071,104 OKHALDHUNGA,146
Poush 2071,110 ILAM,54
Poush 2071,505 ARGHAKHANCHI,152
Poush 2071,207 BARA,359
Poush 2071,202 SIRAHA,668
Poush 2071,Nepal,"21,443"
Poush 2071,6 Karnali Province,"2,494"
Poush 2071,204 MAHOTTARI,880
Poush 2071,607 JAJARKOT,199
Poush 2071,701 BAJURA,249
Poush 2071,606 DAILEKH,638
Poush 2071,501 RUKUM EAST,73
Poush 2071,508 RUPANDEHI,400
Poush 2071,103 SOLUKHUMBU,101
Poush 2071,509 KAPILBASTU,741
Poush 2071,704 BAITADI,91
Poush 2071,113 SUNSARI,184
Poush 2071,309 KAVREPALANCHOK,662
Poush 2071,601 DOLPA,81
Poush 2071,404 MYAGDI,75
Poush 2071,608 RUKUM WEST,158
Poush 2071,605 KALIKOT,64
Poush 2071,201 SAPTARI,283
Poush 2071,102 SANKHUWASABHA,148
Poush 2071,4 Gandaki Province,"2,377"
Poush 2071,7 Sudurpashchim Province,"1,881"
Poush 2071,604 JUMLA,279
Poush 2071,706 DOTI,155
Poush 2071,407 TANAHU,209
Poush 2071,610 SURKHET,633
Poush 2071,5 Lumbini Province,"3,362"
Poush 2071,1 Koshi Province,"2,972"
Poush 2071,512 BARDIYA,206
Poush 2071,602 MUGU,10
Poush 2071,312 MAKWANPUR,148
Poush 2071,411 BAGLUNG,242
Poush 2071,2 Madhesh Province,"4,503"
Poush 2071,703 DARCHULA,94
Poush 2071,111 JHAPA,747
Poush 2071,304 DHADING,191
Poush 2071,709 KANCHANPUR,147
Poush 2071,3 Bagmati Province,"3,854"
Poush 2071,707 ACHHAM,203
Poush 2071,609 SALYAN,381
Poush 2071,310 RAMECHHAP,129
Poush 2071,409 SYANGJA,273
Poush 2071,114 UDAYAPUR,218
Poush 2071,705 DADELDHURA,183
Poush 2071,301 DOLAKHA,113
Poush 2071,603 HUMLA,51
Poush 2071,410 PARBAT,108
Poush 2071,506 PALPA,166
Poush 2071,208 PARSA,221
Poush 2071,101 TAPLEJUNG,125
Poush 2071,105 KHOTANG,241
Poush 2071,408 NAWALPARASI EAST,174
Poush 2071,108 TERHATHUM,63
Poush 2071,511 BANKE,203
Poush 2071,307 BHAKTAPUR,157
Poush 2071,502 ROLPA,337
Poush 2071,403 MUSTANG,2
Poush 2071,402 MANANG,3
Poush 2071,401 GORKHA,154
Poush 2071,405 KASKI,"1,012"
Poush 2071,302 SINDHUPALCHOK,222
Poush 2071,205 SARLAHI,819
Poush 2071,507 NAWALPARASI WEST,190
Poush 2071,305 NUWAKOT,424
Poush 2071,106 BHOJPUR,157
Poush 2071,510 DANG,434
Poush 2071,702 BAJHANG,375
Poush 2071,504 GULMI,220
Poush 2072,205 SARLAHI,585
Poush 2072,507 NAWALPARASI WEST,272
Poush 2072,508 RUPANDEHI,958
Poush 2072,406 LAMJUNG,303
Poush 2072,203 DHANUSA,849
Poush 2072,401 GORKHA,281
Poush 2072,207 BARA,577
Poush 2072,307 BHAKTAPUR,154
Poush 2072,309 KAVREPALANCHOK,506
Poush 2072,510 DANG,646
Poush 2072,106 BHOJPUR,185
Poush 2072,102 SANKHUWASABHA,211
Poush 2072,504 GULMI,328
Poush 2072,107 DHANKUTA,183
Poush 2072,7 Sudurpashchim Province,"2,191"
Poush 2072,602 MUGU,7
Poush 2072,306 KATHMANDU,"1,065"
Poush 2072,704 BAITADI,123
Poush 2072,608 RUKUM WEST,246
Poush 2072,111 JHAPA,"1,164"
Poush 2072,305 NUWAKOT,400
Poush 2072,411 BAGLUNG,460
Poush 2072,2 Madhesh Province,"4,987"
Poush 2072,311 SINDHULI,501
Poush 2072,103 SOLUKHUMBU,138
Poush 2072,403 MUSTANG,2
Poush 2072,101 TAPLEJUNG,129
Poush 2072,407 TANAHU,290
Poush 2072,204 MAHOTTARI,830
Poush 2072,301 DOLAKHA,114
Poush 2072,603 HUMLA,38
Poush 2072,110 ILAM,65
Poush 2072,112 MORANG,833
Poush 2072,3 Bagmati Province,"4,954"
Poush 2072,202 SIRAHA,992
Poush 2072,308 LALITPUR,570
Poush 2072,506 PALPA,225
Poush 2072,6 Karnali Province,"2,159"
Poush 2072,208 PARSA,336
Poush 2072,402 MANANG,3
Poush 2072,609 SALYAN,400
Poush 2072,310 RAMECHHAP,189
Poush 2072,410 PARBAT,164
Poush 2072,501 RUKUM EAST,69
Poush 2072,703 DARCHULA,62
Poush 2072,606 DAILEKH,391
Poush 2072,511 BANKE,355
Poush 2072,709 KANCHANPUR,284
Poush 2072,404 MYAGDI,54
Poush 2072,705 DADELDHURA,194
Poush 2072,114 UDAYAPUR,311
Poush 2072,707 ACHHAM,148
Poush 2072,509 KAPILBASTU,653
Poush 2072,Nepal,"26,290"
Poush 2072,105 KHOTANG,195
Poush 2072,312 MAKWANPUR,142
Poush 2072,302 SINDHUPALCHOK,352
Poush 2072,408 NAWALPARASI EAST,256
Poush 2072,512 BARDIYA,319
Poush 2072,4 Gandaki Province,"3,356"
Poush 2072,706 DOTI,110
Poush 2072,701 BAJURA,184
Poush 2072,605 KALIKOT,178
Poush 2072,702 BAJHANG,460
Poush 2072,601 DOLPA,141
Poush 2072,604 JUMLA,56
Poush 2072,201 SAPTARI,345
Poush 2072,409 SYANGJA,341
Poush 2072,113 SUNSARI,255
Poush 2072,206 RAUTAHAT ,473
Poush 2072,313 CHITWAN,405
Poush 2072,610 SURKHET,479
Poush 2072,304 DHADING,540
Poush 2072,503 PYUTHAN,274
Poush 2072,108 TERHATHUM,139
Poush 2072,1 Koshi Province,"4,045"
Poush 2072,607 JAJARKOT,223
Poush 2072,405 KASKI,"1,202"
Poush 2072,5 Lumbini Province,"4,598"
Poush 2072,502 ROLPA,333
Poush 2072,303 RASUWA,16
Poush 2072,708 KAILALI,626
Poush 2072,505 ARGHAKHANCHI,166
Poush 2072,109 PANCHTHAR,60
Poush 2072,104 OKHALDHUNGA,177
Poush 2073,608 RUKUM WEST,51
Poush 2073,602 MUGU,53
Poush 2073,407 TANAHU,192
Poush 2073,706 DOTI,117
Poush 2073,1 Koshi Province,"4,778"
Poush 2073,411 BAGLUNG,285
Poush 2073,2 Madhesh Province,"4,795"
Poush 2073,704 BAITADI,127
Poush 2073,409 SYANGJA,170
Poush 2073,610 SURKHET,381
Poush 2073,304 DHADING,324
Poush 2073,301 DOLAKHA,73
Poush 2073,707 ACHHAM,112
Poush 2073,114 UDAYAPUR,273
Poush 2073,603 HUMLA,42
Poush 2073,111 JHAPA,774
Poush 2073,703 DARCHULA,45
Poush 2073,607 JAJARKOT,186
Poush 2073,709 KANCHANPUR,241
Poush 2073,108 TERHATHUM,72
Poush 2073,705 DADELDHURA,122
Poush 2073,5 Lumbini Province,"3,501"
Poush 2073,6 Karnali Province,"2,021"
Poush 2073,202 SIRAHA,994
Poush 2073,208 PARSA,247
Poush 2073,3 Bagmati Province,"3,893"
Poush 2073,506 PALPA,165
Poush 2073,508 RUPANDEHI,554
Poush 2073,110 ILAM,149
Poush 2073,509 KAPILBASTU,611
Poush 2073,204 MAHOTTARI,634
Poush 2073,501 RUKUM EAST,77
Poush 2073,606 DAILEKH,708
Poush 2073,609 SALYAN,255
Poush 2073,310 RAMECHHAP,114
Poush 2073,207 BARA,314
Poush 2073,203 DHANUSA,829
Poush 2073,Nepal,"22,804"
Poush 2073,605 KALIKOT,56
Poush 2073,309 KAVREPALANCHOK,299
Poush 2073,601 DOLPA,23
Poush 2073,113 SUNSARI,285
Poush 2073,404 MYAGDI,37
Poush 2073,512 BARDIYA,260
Poush 2073,201 SAPTARI,302
Poush 2073,4 Gandaki Province,"2,024"
Poush 2073,604 JUMLA,266
Poush 2073,7 Sudurpashchim Province,"1,792"
Poush 2073,701 BAJURA,169
Poush 2073,102 SANKHUWASABHA,138
Poush 2073,505 ARGHAKHANCHI,95
Poush 2073,313 CHITWAN,359
Poush 2073,109 PANCHTHAR,83
Poush 2073,112 MORANG,"2,397"
Poush 2073,311 SINDHULI,422
Poush 2073,503 PYUTHAN,259
Poush 2073,107 DHANKUTA,47
Poush 2073,708 KAILALI,593
Poush 2073,406 LAMJUNG,237
Poush 2073,103 SOLUKHUMBU,39
Poush 2073,303 RASUWA,9
Poush 2073,502 ROLPA,244
Poush 2073,206 RAUTAHAT ,642
Poush 2073,308 LALITPUR,585
Poush 2073,306 KATHMANDU,913
Poush 2073,104 OKHALDHUNGA,103
Poush 2073,410 PARBAT,105
Poush 2073,101 TAPLEJUNG,99
Poush 2073,511 BANKE,388
Poush 2073,408 NAWALPARASI EAST,189
Poush 2073,302 SINDHUPALCHOK,208
Poush 2073,401 GORKHA,169
Poush 2073,405 KASKI,640
Poush 2073,105 KHOTANG,146
Poush 2073,507 NAWALPARASI WEST,240
Poush 2073,510 DANG,457
Poush 2073,305 NUWAKOT,321
Poush 2073,312 MAKWANPUR,95
Poush 2073,307 BHAKTAPUR,171
Poush 2073,205 SARLAHI,833
Poush 2073,504 GULMI,151
Poush 2073,702 BAJHANG,266
Poush 2073,106 BHOJPUR,173
Poush 2074,5 Lumbini Province,"3,288"
Poush 2074,605 KALIKOT,62
Poush 2074,411 BAGLUNG,320
Poush 2074,709 KANCHANPUR,264
Poush 2074,3 Bagmati Province,"4,606"
Poush 2074,114 UDAYAPUR,281
Poush 2074,312 MAKWANPUR,72
Poush 2074,407 TANAHU,350
Poush 2074,1 Koshi Province,"4,438"
Poush 2074,602 MUGU,45
Poush 2074,705 DADELDHURA,127
Poush 2074,512 BARDIYA,247
Poush 2074,707 ACHHAM,171
Poush 2074,501 RUKUM EAST,31
Poush 2074,7 Sudurpashchim Province,"2,006"
Poush 2074,604 JUMLA,72
Poush 2074,2 Madhesh Province,"2,869"
Poush 2074,404 MYAGDI,49
Poush 2074,102 SANKHUWASABHA,171
Poush 2074,704 BAITADI,137
Poush 2074,408 NAWALPARASI EAST,159
Poush 2074,706 DOTI,209
Poush 2074,608 RUKUM WEST,191
Poush 2074,108 TERHATHUM,63
Poush 2074,701 BAJURA,200
Poush 2074,4 Gandaki Province,"2,629"
Poush 2074,405 KASKI,906
Poush 2074,401 GORKHA,295
Poush 2074,104 OKHALDHUNGA,96
Poush 2074,601 DOLPA,45
Poush 2074,303 RASUWA,25
Poush 2074,309 KAVREPALANCHOK,324
Poush 2074,508 RUPANDEHI,555
Poush 2074,511 BANKE,380
Poush 2074,113 SUNSARI,293
Poush 2074,502 ROLPA,280
Poush 2074,409 SYANGJA,213
Poush 2074,609 SALYAN,198
Poush 2074,310 RAMECHHAP,211
Poush 2074,304 DHADING,303
Poush 2074,206 RAUTAHAT ,201
Poush 2074,610 SURKHET,410
Poush 2074,505 ARGHAKHANCHI,106
Poush 2074,109 PANCHTHAR,74
Poush 2074,703 DARCHULA,57
Poush 2074,708 KAILALI,584
Poush 2074,607 JAJARKOT,288
Poush 2074,504 GULMI,202
Poush 2074,503 PYUTHAN,297
Poush 2074,406 LAMJUNG,173
Poush 2074,203 DHANUSA,622
Poush 2074,205 SARLAHI,141
Poush 2074,507 NAWALPARASI WEST,81
Poush 2074,106 BHOJPUR,141
