,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Asar 2076,111 JHAPA,"1,493"
Asar 2076,703 DARCHULA,132
Asar 2076,707 ACHHAM,204
Asar 2076,312 MAKWANPUR,258
Asar 2076,114 UDAYAPUR,412
Asar 2076,208 PARSA,296
Asar 2076,301 DOLAKHA,377
Asar 2076,304 DHADING,387
Asar 2076,609 SALYAN,575
Asar 2076,410 PARBAT,213
Asar 2076,506 PALPA,931
Asar 2076,310 RAMECHHAP,147
Asar 2076,409 SYANGJA,348
Asar 2076,607 JAJARKOT,245
Asar 2076,603 HUMLA,71
Asar 2076,509 KAPILBASTU,614
Asar 2076,204 MAHOTTARI,"1,173"
Asar 2076,6 Karnali Province,"4,581"
Asar 2076,Nepal,"37,454"
Asar 2076,202 SIRAHA,938
Asar 2076,207 BARA,524
Asar 2076,110 ILAM,190
Asar 2076,701 BAJURA,262
Asar 2076,705 DADELDHURA,139
Asar 2076,103 SOLUKHUMBU,71
Asar 2076,508 RUPANDEHI,747
Asar 2076,606 DAILEKH,626
Asar 2076,501 RUKUM EAST,207
Asar 2076,102 SANKHUWASABHA,397
Asar 2076,404 MYAGDI,65
Asar 2076,203 DHANUSA,"1,035"
Asar 2076,113 SUNSARI,271
Asar 2076,309 KAVREPALANCHOK,478
Asar 2076,704 BAITADI,237
Asar 2076,605 KALIKOT,307
Asar 2076,601 DOLPA,407
Asar 2076,608 RUKUM WEST,536
Asar 2076,7 Sudurpashchim Province,"3,071"
Asar 2076,201 SAPTARI,335
Asar 2076,604 JUMLA,73
Asar 2076,4 Gandaki Province,"4,541"
Asar 2076,706 DOTI,279
Asar 2076,313 CHITWAN,349
Asar 2076,505 ARGHAKHANCHI,265
Asar 2076,106 BHOJPUR,262
Asar 2076,306 KATHMANDU,"1,629"
Asar 2076,503 PYUTHAN,517
Asar 2076,206 RAUTAHAT ,750
Asar 2076,303 RASUWA,24
Asar 2076,311 SINDHULI,947
Asar 2076,406 LAMJUNG,405
Asar 2076,107 DHANKUTA,243
Asar 2076,104 OKHALDHUNGA,202
Asar 2076,308 LALITPUR,569
Asar 2076,708 KAILALI,897
Asar 2076,109 PANCHTHAR,185
Asar 2076,112 MORANG,"1,324"
Asar 2076,101 TAPLEJUNG,196
Asar 2076,105 KHOTANG,274
Asar 2076,108 TERHATHUM,192
Asar 2076,405 KASKI,"1,744"
Asar 2076,502 ROLPA,784
Asar 2076,307 BHAKTAPUR,339
Asar 2076,403 MUSTANG,7
Asar 2076,401 GORKHA,334
Asar 2076,302 SINDHUPALCHOK,296
Asar 2076,511 BANKE,506
Asar 2076,205 SARLAHI,"1,200"
Asar 2076,402 MANANG,30
Asar 2076,702 BAJHANG,470
Asar 2076,507 NAWALPARASI WEST,333
Asar 2076,305 NUWAKOT,278
Asar 2076,510 DANG,940
Asar 2076,504 GULMI,841
Asar 2076,408 NAWALPARASI EAST,270
Asar 2077,604 JUMLA,108
Asar 2077,703 DARCHULA,120
Asar 2077,705 DADELDHURA,45
Asar 2077,208 PARSA,299
Asar 2077,506 PALPA,225
Asar 2077,404 MYAGDI,37
Asar 2077,3 Bagmati Province,"4,252"
Asar 2077,114 UDAYAPUR,262
Asar 2077,609 SALYAN,552
Asar 2077,310 RAMECHHAP,136
Asar 2077,511 BANKE,387
Asar 2077,606 DAILEKH,500
Asar 2077,707 ACHHAM,236
Asar 2077,509 KAPILBASTU,317
Asar 2077,709 KANCHANPUR,366
Asar 2077,501 RUKUM EAST,164
Asar 2077,312 MAKWANPUR,235
Asar 2077,402 MANANG,2
Asar 2077,408 NAWALPARASI EAST,171
